Creation_Date,Estee_ID,Buy_Sell_Indicator,Traded_Quantity,Traded_Price,Status,TradeTime
5/3/2021,BRPETRACNPR6BR00,1,100,23.39,Executed,36:04.2
5/3/2021,BRELETACNOR6BR00,1,100,36.7299,Executed,36:09.9
5/3/2021,BRGOAUACNPR8BR00,1,100,14.57,Executed,35:51.2
5/3/2021,BRTRPLACNPR1BR00,2,100,26.7,Executed,36:11.7
5/3/2021,BRWIZSACNOR1BR00,1,100,10.92,Executed,35:50.4
5/3/2021,BRNTCOACNOR5BR00,2,100,49.58,Executed,35:52.9
5/3/2021,BRLAMEACNPR6BR00,1,100,21,Executed,35:50.3
5/3/2021,BRLAMEACNPR6BR00,1,100,20.9899,Executed,35:52.8
5/3/2021,BRWIZSACNOR1BR00,1,100,10.91,Executed,35:56.8
5/3/2021,BRB3SAACNOR6BR00,1,100,51.47,Executed,35:51.2
5/3/2021,BRB3SAACNOR6BR00,1,100,51.45,Executed,36:01.1
5/3/2021,BRLRENACNOR1BR00,2,100,40.9799,Executed,35:52.1
5/3/2021,BRKLBNCDAM18BR00,2,100,27.54,Executed,35:51.8
5/3/2021,BRKLBNCDAM18BR00,2,100,27.54,Executed,36:57.2
5/3/2021,BRLRENACNOR1BR00,2,100,40.9799,Executed,35:52.6
5/3/2021,BRITUBACNOR4BR00,1,100,24.7399,Executed,36:57.1
5/3/2021,BRLRENACNOR1BR00,2,100,40.9799,Executed,35:56.1
5/3/2021,BRBRKMACNPA4BR00,1,100,49.7299,Executed,35:54.3
5/3/2021,BRLAMEACNPR6BR00,1,100,20.98,Executed,36:00.5
5/3/2021,BRUSIMACNPA6BR00,1,100,21.62,Executed,35:59.5
5/3/2021,BRNTCOACNOR5BR00,2,100,49.59,Executed,35:58.2
5/3/2021,BRCSNAACNOR6BR00,1,100,47.47,Executed,36:01.1
5/3/2021,BRUGPAACNOR8BR00,2,100,21.36,Executed,36:05.3
5/3/2021,BRETERACNOR3BR00,2,100,22.73,Executed,36:38.6
5/3/2021,BRBRKMACNPA4BR00,1,100,49.76,Executed,36:32.4
5/3/2021,BRVLIDACNOR5BR00,1,100,9.65,Executed,38:38.5
5/3/2021,BRTOTSACNOR8BR00,2,100,32.34,Executed,35:54.5
5/3/2021,BRTOTSACNOR8BR00,2,100,32.34,Executed,35:55.2
5/3/2021,BRITUBACNPR1BR00,2,100,27.85,Executed,36:44.0
5/3/2021,BRBBDCACNPR8BR00,2,100,24.54,Executed,35:58.1
5/3/2021,BRSAPRCDAM13BR00,1,100,20.91,Executed,35:54.9
5/3/2021,BRTOTSACNOR8BR00,2,100,32.34,Executed,35:55.2
5/3/2021,BRTOTSACNOR8BR00,2,100,32.35,Executed,36:00.3
5/3/2021,BRSAPRCDAM13BR00,1,100,20.9,Executed,36:03.3
5/3/2021,BRLRENACNOR1BR00,2,100,40.9799,Executed,35:57.8
5/3/2021,BRITSAACNPR7BR00,1,100,10.16,Executed,35:56.2
5/3/2021,BRITSAACNPR7BR00,1,100,10.15,Executed,38:51.7
5/3/2021,BRWIZSACNOR1BR00,1,100,10.9,Executed,36:10.4
5/3/2021,BRHGTXACNOR9BR00,2,100,26.91,Executed,36:04.1
5/3/2021,BRTAEECDAM10BR00,2,100,42.21,Executed,36:28.2
5/3/2021,BRMOVIACNOR0BR00,1,100,16.57,Executed,35:57.8
5/3/2021,BREZTCACNOR0BR00,1,100,32.4099,Executed,35:57.8
5/3/2021,BRLRENACNOR1BR00,2,100,40.97,Executed,35:57.9
5/3/2021,BRMOVIACNOR0BR00,1,100,16.56,Executed,36:00.6
5/3/2021,BREZTCACNOR0BR00,1,100,32.4,Executed,36:04.1
5/3/2021,BRLRENACNOR1BR00,2,100,40.97,Executed,35:57.9
5/3/2021,BRLRENACNOR1BR00,2,100,40.9799,Executed,35:57.9
5/3/2021,BRLRENACNOR1BR00,2,100,40.9799,Executed,35:59.0
5/3/2021,BRSANBCDAM13BR00,2,100,39.04,Executed,36:32.2
5/3/2021,BRNTCOACNOR5BR00,2,100,49.58,Executed,36:05.4
5/3/2021,BRBBDCACNPR8BR00,2,100,24.54,Executed,36:00.1
5/3/2021,BRGNDIACNOR2BR00,2,100,83.09,Executed,36:20.1
5/3/2021,BRRAPTACNPR4BR00,2,100,14.23,Executed,36:14.3
5/3/2021,BRLRENACNOR1BR00,2,100,40.9799,Executed,36:00.5
5/3/2021,BRAALRACNOR6BR00,2,100,8.86,Executed,36:30.4
5/3/2021,BRECORACNOR8BR00,1,100,11.99,Executed,36:00.3
5/3/2021,BRRADLACNOR0BR00,1,100,26.55,Executed,36:00.2
5/3/2021,BRAZULACNPR4BR00,1,100,38.11,Executed,36:13.3
5/3/2021,BRUSIMACNPA6BR00,1,100,21.62,Executed,36:00.9
5/3/2021,BRBBDCACNPR8BR00,2,100,24.55,Executed,36:07.7
5/3/2021,BRRADLACNOR0BR00,1,100,26.55,Executed,36:00.8
5/3/2021,BRTOTSACNOR8BR00,2,100,32.35,Executed,36:12.1
5/3/2021,BRECORACNOR8BR00,1,100,11.99,Executed,36:00.6
5/3/2021,BRLIGTACNOR2BR00,2,100,17.36,Executed,36:07.1
5/3/2021,BRHAPVACNOR4BR00,2,100,14.89,Executed,36:11.1
5/3/2021,BRYDUQACNOR3BR00,1,100,29.12,Executed,36:04.8
5/3/2021,BRELETACNPB7BR00,1,100,36.88,Executed,36:06.4
5/3/2021,BRLRENACNOR1BR00,2,100,40.9799,Executed,36:01.3
5/3/2021,BRMOVIACNOR0BR00,1,100,16.55,Executed,38:54.5
5/3/2021,BRECORACNOR8BR00,1,100,11.99,Executed,36:04.9
5/3/2021,BRLAMEACNPR6BR00,1,100,20.98,Executed,36:02.1
5/3/2021,BRENGICDAM16BR00,1,100,43.34,Executed,36:09.0
5/3/2021,BRRADLACNOR0BR00,1,100,26.56,Executed,36:08.6
5/3/2021,BRBIDIACNPR0BR00,1,100,77.33,Executed,37:24.2
5/3/2021,BRB3SAACNOR6BR00,1,100,51.43,Executed,36:04.9
5/3/2021,BREMBRACNOR4BR00,2,100,15.85,Executed,36:10.7
5/3/2021,BRPETRACNOR9BR00,1,100,22.92,Executed,36:27.7
5/3/2021,BRLRENACNOR1BR00,2,100,40.9799,Executed,36:01.4
5/3/2021,BRLRENACNOR1BR00,2,100,40.9799,Executed,36:02.4
5/3/2021,BRCYREACNOR7BR00,1,100,23.45,Executed,36:10.4
5/3/2021,BRCESPACNPB4BR00,2,100,25.06,Executed,36:01.9
5/3/2021,BRMGLUACNOR2BR00,2,100,20.0799,Executed,36:01.8
5/3/2021,BRCESPACNPB4BR00,2,100,25.06,Executed,36:02.4
5/3/2021,BRMGLUACNOR2BR00,2,100,20.0799,Executed,36:02.2
5/3/2021,BRLAMEACNPR6BR00,1,100,20.9899,Executed,36:40.3
5/3/2021,BRBRFSACNOR8BR00,2,100,20.5,Executed,36:02.8
5/3/2021,BRPARDACNOR1BR00,2,100,18.72,Executed,37:35.7
5/3/2021,BRCSNAACNOR6BR00,1,100,47.46,Executed,36:03.6
5/3/2021,BRQUALACNOR6BR00,1,100,26.98,Executed,36:05.5
5/3/2021,BRCESPACNPB4BR00,2,100,25.07,Executed,36:02.5
5/3/2021,BRFLRYACNOR5BR00,1,100,25.0799,Executed,36:05.6
5/3/2021,BRCVCBACNOR1BR00,1,100,23.03,Executed,36:08.5
5/3/2021,BRVIVTACNOR0BR00,1,100,42.79,Executed,36:16.6
5/3/2021,BRBRFSACNOR8BR00,2,100,20.5,Executed,36:33.3
5/3/2021,BRCESPACNPB4BR00,2,100,25.07,Executed,36:03.4
